zone_id,latitude,longitude
1,40.69183,-74.174002
2,40.616746,-73.8313
3,40.864474,-73.847422
4,40.723752,-73.976968
5,40.552659,-74.188485
6,40.600324,-74.07177
7,40.761493,-73.919694
8,40.778559,-73.923086
9,40.751034,-73.787949
10,40.678953,-73.790987
11,40.604273,-74.007488
12,40.702946,-74.015563
13,40.712038,-74.016079
14,40.624834,-74.029893
15,40.783333,-73.785973
16,40.762738,-73.773421
17,40.691507,-73.949905
18,40.867682,-73.890184
19,40.735487,-73.726655
20,40.857779,-73.885867
21,40.601429,-73.983538
22,40.612218,-73.995259
23,40.606448,-74.170885
24,40.801971,-73.965479
25,40.685634,-73.986114
26,40.630949,-73.988661
27,40.559135,-73.906912
28,40.711596,-73.808729
29,40.580922,-73.961217
30,40.603687,-73.821928
31,40.857746,-73.875476
32,40.864002,-73.864901
33,40.695798,-73.99525
34,40.700856,-73.971189
35,40.664003,-73.910258
36,40.700522,-73.91771
37,40.694994,-73.922237
38,40.694341,-73.735554
39,40.638037,-73.899735
40,40.679199,-73.995956
41,40.804334,-73.951292
42,40.818257,-73.940772
43,40.782477,-73.965555
44,40.525491,-74.233535
45,40.712459,-73.998151
46,40.849086,-73.781988
47,40.842748,-73.900317
48,40.762253,-73.989845
49,40.687967,-73.962363
50,40.766238,-73.995135
51,40.873972,-73.828263
52,40.686651,-73.996724
53,40.780912,-73.842813
54,40.687201,-74.002911
55,40.576961,-73.987944
56,40.741407,-73.858845
57,40.751819,-73.853582
58,40.841452,-73.820393
59,40.83855,-73.894986
60,40.83399,-73.8859
61,40.67447,-73.939287
62,40.666541,-73.948788
63,40.68384,-73.878173
64,40.760615,-73.739337
65,40.695337,-73.986086
66,40.702259,-73.985702
67,40.619619,-74.013802
68,40.748427,-73.999918
69,40.831416,-73.91503
70,40.763352,-73.868395
71,40.644288,-73.937966
72,40.652364,-73.922251
73,40.754109,-73.807294
74,40.801169,-73.937346
75,40.790011,-73.94575
76,40.660934,-73.87682
77,40.666559,-73.895364
78,40.84496,-73.885522
79,40.72762,-73.985937
80,40.71537,-73.936794
81,40.880935,-73.836644
82,40.739495,-73.877118
83,40.738324,-73.892173
84,40.528686,-74.187679
85,40.646116,-73.951623
86,40.602433,-73.755243
87,40.706808,-74.007496
88,40.703358,-74.011515
89,40.6379,-73.960968
90,40.742279,-73.996971
91,40.626272,-73.930097
92,40.761101,-73.828859
93,40.740674,-73.840865
94,40.858155,-73.899536
95,40.721432,-73.847669
96,40.697002,-73.871561
97,40.690787,-73.974882
98,40.734463,-73.777253
99,40.576773,-74.186421
100,40.753513,-73.988787
101,40.745993,-73.711025
102,40.703546,-73.875737
103,40.68986,-74.045288
104,40.698769,-74.040771
105,40.688784,-74.019073
106,40.673513,-73.990648
107,40.736824,-73.984052
108,40.588404,-73.981431
109,40.551862,-74.15089
110,40.54578,-74.128343
111,40.652137,-73.990234
112,40.729506,-73.94954
113,40.732579,-73.994305
114,40.72834,-73.99738
115,40.617971,-74.087839
116,40.827013,-73.948522
117,40.594059,-73.789623
118,40.586555,-74.132985
119,40.837827,-73.926158
120,40.846667,-73.930183
121,40.728333,-73.802444
122,40.710639,-73.761137
123,40.599954,-73.964334
124,40.658248,-73.844918
125,40.72629,-74.007486
126,40.812074,-73.885537
127,40.866075,-73.919308
128,40.872379,-73.92437
129,40.757312,-73.885317
130,40.704369,-73.793981
131,40.720655,-73.776101
132,40.646985,-73.78653
133,40.64059,-73.976199
134,40.708051,-73.828712
135,40.728377,-73.821195
136,40.865264,-73.905911
137,40.740439,-73.976495
138,40.774376,-73.873628
139,40.677098,-73.744235
140,40.765484,-73.954739
141,40.766948,-73.959635
142,40.773633,-73.981532
143,40.775965,-73.987646
144,40.720889,-73.996919
145,40.745379,-73.948892
146,40.754243,-73.934829
147,40.819676,-73.898957
148,40.718938,-73.990896
149,40.604913,-73.948136
150,40.580473,-73.943629
151,40.797962,-73.968168
152,40.817975,-73.953782
153,40.875968,-73.910379
154,40.593571,-73.902595
155,40.614591,-73.915277
156,40.631308,-74.167234
157,40.723995,-73.902331
158,40.735035,-74.008984
159,40.81826,-73.912849
160,40.718337,-73.880051
161,40.758028,-73.977698
162,40.756688,-73.972356
163,40.764421,-73.977569
164,40.748575,-73.985156
165,40.620924,-73.956824
166,40.809457,-73.961764
167,40.827513,-73.902352
168,40.807347,-73.916822
169,40.849058,-73.905122
170,40.747746,-73.978492
171,40.768352,-73.809545
172,40.571769,-74.105019
173,40.752579,-73.863038
174,40.877137,-73.879022
175,40.742671,-73.754622
176,40.561994,-74.122583
177,40.676644,-73.913632
178,40.617315,-73.970326
179,40.77157,-73.928333
180,40.675595,-73.847043
181,40.670374,-73.981414
182,40.837749,-73.857987
183,40.849172,-73.831582
184,40.868275,-73.807858
